continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
asia,bachelor's,y,n,58,2000,west,136969.3,year,y,1
asia,master's,n,n,227,1952,south,75897.88,year,y,1
asia,high school,y,n,605,1997,midwest,27952.3,year,y,0
asia,bachelor's,y,n,3389,1885,midwest,113151.51,year,y,1
asia,bachelor's,y,n,448,2012,west,87873.32,year,y,1
asia,bachelor's,n,n,2213,2007,west,68995.32,year,y,1
north america,high school,y,n,809,2003,south,212.2408,hour,y,1
asia,master's,y,n,1748,2000,island,248608.01,year,y,1
asia,master's,y,n,4607,2012,midwest,129261.95,year,y,1
north america,master's,n,n,5133,2002,west,32577.11,year,y,0
asia,master's,n,y,86138,2010,northeast,148413.54,year,y,1
asia,bachelor's,y,n,4068,1997,west,110521.82,year,y,1
asia,high school,y,n,3627,1996,south,112146.85,year,y,0
asia,master's,y,n,1450,2004,northeast,106906.53,year,n,1
asia,high school,n,n,1885,1989,midwest,60901.64,year,n,0
asia,master's,y,n,1467,1931,south,58560.83,year,y,1
asia,bachelor's,y,n,2474,1999,west,64230.03,year,y,1
asia,bachelor's,y,n,1927,1981,south,184.74,hour,y,0
asia,master's,n,n,550,2005,midwest,151988.87,year,y,1
europe,doctorate,y,n,2616,2004,west,71987.44,year,y,1
asia,doctorate,n,n,597,1997,midwest,84233.28,year,n,1
europe,master's,y,n,4963,1999,northeast,48688.45,year,y,1
africa,high school,y,n,101,1967,midwest,53862.32,year,y,0
asia,bachelor's,n,n,558,1999,northeast,88265.92,year,y,0
europe,bachelor's,y,n,1360,2011,west,131842.91,year,y,1
asia,bachelor's,y,y,11007,1975,south,11842.3,year,y,1
europe,bachelor's,n,n,13524,1968,west,74062.83,year,y,1
north america,bachelor's,y,n,214,1997,island,76545.36,year,y,1
asia,bachelor's,y,n,526,2010,northeast,59401.18,year,y,0
north america,master's,n,n,3702,1996,west,13960.16,year,y,1
asia,bachelor's,y,n,3139,1987,south,96886.71,week,y,1
asia,bachelor's,n,n,660,1947,northeast,141.7329,hour,y,0
asia,master's,n,n,1275,1873,south,127425.43,year,n,1
asia,high school,y,n,1797,1948,northeast,76366.63,year,y,0
asia,master's,y,n,3441,2006,west,30892.16,year,y,1
asia,master's,y,n,1209,1983,northeast,24701.96,year,y,1
north america,master's,n,n,2468,2006,south,232.808,hour,y,0
asia,bachelor's,n,n,823,1982,south,1369.14,year,y,0
asia,bachelor's,y,n,1414,2011,northeast,47246.9,year,y,1
asia,doctorate,y,n,1893,1911,northeast,65187.3,year,y,1
asia,master's,y,n,17143,1986,south,21226.8,year,y,1
asia,bachelor's,n,n,2163,1969,west,119911.64,year,y,1
north america,master's,n,n,3320,1997,west,138276.37,year,y,1
asia,bachelor's,y,n,2707,1998,west,261729.62,year,y,1
north america,master's,y,n,858,1997,northeast,6334.84,year,y,0
north america,master's,n,y,44,1975,south,80955.8,year,y,1
north america,master's,y,n,766,1999,west,20122.31,year,y,0
asia,bachelor's,y,n,520,1947,south,129235.76,year,y,1
africa,bachelor's,y,n,2613,1980,west,50514.33,year,y,0
north america,bachelor's,y,n,599,2011,west,118051.38,year,y,0
asia,master's,n,n,1032,1963,northeast,134507.5,year,n,1
asia,bachelor's,y,n,3271,1993,south,52803.0,year,y,0
asia,master's,n,n,1526,2001,midwest,52960.56,year,n,1
oceania,master's,n,n,1367,1936,south,59670.32,year,y,1
asia,master's,n,y,271,1963,south,93007.74,year,y,1
europe,master's,y,y,3319,2004,northeast,71392.67,year,y,0
europe,master's,n,n,2683,1995,south,239.6427,hour,y,0
north america,master's,n,n,2120,2001,northeast,166144.9,year,n,0
asia,bachelor's,y,y,1463,2001,south,381.7361,hour,y,0
europe,master's,y,n,951,1999,south,8431.77,year,y,1
asia,doctorate,y,n,2317,1980,northeast,27912.02,year,y,1
north america,master's,y,n,3384,1980,south,25850.66,year,y,1
asia,master's,y,n,3119,2006,island,155918.24,year,n,1
asia,bachelor's,n,y,248,2007,south,226.0,hour,y,1
north america,doctorate,y,n,3154,1965,midwest,40090.06,year,y,1
asia,bachelor's,n,y,3232,1987,northeast,108336.72,year,y,1
asia,master's,n,n,3437,1885,midwest,94904.75,year,y,1
asia,master's,n,n,2036,2005,west,83329.46,year,n,1
europe,master's,n,n,3821,1999,south,104308.07,year,n,0
asia,master's,n,y,3905,2006,south,194535.66,year,y,1
asia,bachelor's,y,n,3016,1847,west,52541.66,year,y,1
asia,bachelor's,n,n,125,2003,south,37418.83,year,y,1
asia,bachelor's,y,y,3506,1936,south,44503.62,week,y,0
europe,bachelor's,n,n,5117,1984,west,60624.78,year,y,0
asia,master's,y,n,3585,2008,northeast,98998.56,year,n,1
asia,bachelor's,n,n,1810,2008,northeast,32627.49,year,y,1
europe,master's,n,n,575,2009,west,7402.21,year,y,1
asia,master's,n,n,5206,2012,west,33416.25,year,n,1
asia,master's,y,n,2476,1987,midwest,62872.83,year,y,1
asia,high school,y,n,39727,2002,west,114.044,hour,y,0
asia,master's,y,n,7477,2012,south,67676.59,year,n,1
asia,master's,y,n,30172,2000,west,142272.08,year,y,1
asia,bachelor's,n,n,442,2011,south,41959.29,year,y,1
north america,master's,n,y,1476,1986,island,98052.59,year,y,0
asia,doctorate,n,y,910,2012,northeast,104019.54,year,y,1
asia,bachelor's,y,n,1081,1840,northeast,49588.4,year,y,0
north america,doctorate,y,n,431,1986,west,97232.16,year,y,1
asia,bachelor's,y,n,3674,1998,west,38792.65,week,y,1
asia,bachelor's,y,n,131192,1962,south,62961.8,year,y,1
asia,master's,y,n,4783,1997,northeast,227035.49,year,y,1
asia,master's,y,n,3015,2005,south,99505.17,year,y,1
asia,bachelor's,n,y,2295,2003,west,107842.63,year,y,1
asia,bachelor's,y,n,2171,1977,northeast,87462.99,year,y,1
asia,bachelor's,n,n,2190,1980,northeast,100683.43,year,y,1
asia,master's,y,n,647,1891,west,57108.72,year,y,1
asia,master's,n,n,2854,2000,northeast,101800.95,year,y,1
north america,master's,n,n,3436,2000,west,133337.28,year,n,1
oceania,high school,y,n,3000,2008,west,66173.63,year,y,1
asia,master's,y,n,2698,2000,midwest,53334.24,year,y,1
asia,bachelor's,y,n,2251,1999,northeast,80413.78,year,y,0
africa,high school,n,n,3556,1985,northeast,54871.56,year,y,0
south america,doctorate,y,n,4300,1997,west,47568.68,year,y,1
asia,high school,n,y,1699,1999,south,129897.06,year,y,0
asia,high school,y,y,420,2011,west,9836.74,year,y,0
north america,high school,y,n,4478,1997,south,118060.51,year,y,1
asia,master's,y,n,1016,1984,northeast,120070.0,year,n,1
north america,high school,y,n,349,1946,northeast,40483.68,year,y,1
asia,high school,n,n,1520,2013,south,536.0869,hour,y,0
asia,bachelor's,y,n,2078,1892,south,121710.75,year,y,0
north america,high school,y,n,2917,2004,west,51600.36,year,y,1
europe,doctorate,n,n,2154,1994,west,9639.14,year,y,1
asia,bachelor's,n,y,244,1999,west,104840.07,year,y,0
south america,master's,y,n,119,2012,northeast,867.5177,hour,y,1
europe,bachelor's,y,n,567,1883,northeast,56733.59,year,y,0
asia,high school,y,n,608,1996,south,89384.76,year,y,0
asia,master's,n,n,2162,2004,south,48810.04,year,y,1
asia,bachelor's,y,n,1644,1988,northeast,70664.47,year,y,1
asia,master's,y,n,687,2009,south,99065.5,year,y,1
asia,master's,y,n,2026,2009,west,28787.72,year,y,1
asia,master's,y,n,1378,1953,west,890.13,year,y,1
asia,doctorate,y,n,6120,1944,northeast,110822.33,year,y,1
asia,bachelor's,y,n,2763,2003,west,32309.28,year,y,0
asia,master's,n,n,4226,2014,northeast,984.2796,hour,y,1
asia,bachelor's,n,n,2738,1945,south,886.7405,hour,y,1
asia,bachelor's,y,n,430,2003,midwest,112715.62,year,y,0
africa,master's,n,n,1427,1984,west,58594.99,year,y,1
europe,master's,y,n,1755,1979,west,71578.37,year,y,1
asia,bachelor's,y,n,35,2004,west,91536.29,year,y,1
north america,master's,y,n,3178,1993,northeast,28105.16,year,y,1
asia,master's,n,n,95,1990,northeast,431.9545,hour,y,1
asia,bachelor's,y,n,581,1895,west,166164.21,year,y,1
europe,bachelor's,y,y,99,1996,west,42594.42,year,y,1
south america,bachelor's,y,n,21797,2008,northeast,77.2403,hour,y,0
asia,bachelor's,y,n,1840,2005,northeast,403.334,hour,y,1
asia,master's,y,n,106,1999,northeast,221.1209,hour,y,1
europe,doctorate,n,n,2997,1833,west,63100.22,year,y,1
asia,master's,y,n,1356,1990,south,82065.74,year,y,1
asia,master's,y,n,4457,1988,northeast,48075.79,year,y,1
asia,master's,y,n,98447,1838,west,10421.76,year,n,1
south america,master's,y,n,2914,2001,northeast,107523.36,year,y,1
asia,master's,y,n,1806,2007,northeast,76325.29,year,y,1
asia,master's,n,n,1276,2007,midwest,163609.13,year,y,1
asia,bachelor's,y,n,502,1995,midwest,166436.97,year,y,0
asia,bachelor's,n,n,3218,1985,south,79.1718,hour,y,0
asia,master's,n,n,2942,1993,midwest,19712.02,year,y,1
asia,bachelor's,y,n,3428,2006,northeast,44881.64,year,y,1
europe,bachelor's,y,n,724,2008,northeast,38593.46,year,y,1
asia,master's,n,n,1117,2011,midwest,68956.1,year,y,1
asia,master's,y,n,264,1996,northeast,69875.05,year,y,1
asia,doctorate,y,n,4307,1977,west,13372.93,year,y,1
asia,high school,y,n,2563,2007,west,133018.51,year,y,0
asia,doctorate,y,n,2272,2013,northeast,29385.11,year,y,1
asia,bachelor's,n,n,1515,2001,northeast,322.8046,hour,y,0
asia,master's,n,n,2435,2007,midwest,138691.53,year,n,1
asia,master's,y,n,3372,2004,midwest,278629.2,year,n,1
north america,bachelor's,y,n,625,2006,west,88504.16,year,y,1
asia,master's,y,n,18207,1998,midwest,124810.53,year,n,1
asia,high school,y,n,2680,1939,west,889.8213,hour,y,0
asia,master's,y,n,4859,1994,west,143840.0,year,y,1
asia,bachelor's,y,n,1719,1898,midwest,63374.02,year,y,1
asia,high school,y,n,6044,1999,northeast,110976.71,year,y,0
asia,master's,y,n,3059,1977,midwest,124586.62,year,y,1
asia,master's,n,n,1325,1971,northeast,335.5486,hour,y,1
asia,master's,y,n,588,2012,island,115404.12,year,y,1
asia,master's,n,n,4459,1989,south,280.4605,hour,y,1
asia,master's,y,n,5369,1998,south,165963.26,year,n,1
asia,bachelor's,y,n,546,2005,west,55509.24,year,y,1
asia,master's,y,y,2457,2000,northeast,112525.87,year,y,1
asia,bachelor's,y,n,2626,2001,midwest,236523.12,year,y,1
asia,bachelor's,y,n,2127,1832,west,338.2191,hour,y,0
north america,master's,y,n,2532,1977,west,125625.87,week,y,0
south america,master's,y,n,137,2012,west,33474.72,year,y,0
europe,high school,y,n,3353,2006,west,126673.41,year,y,0
north america,bachelor's,y,n,1959,1858,south,304.0882,hour,y,0
asia,master's,y,n,320,1963,west,120670.38,year,y,1
asia,high school,y,n,1464,2010,midwest,113174.66,year,y,0
asia,master's,y,n,452,1971,midwest,64101.51,year,y,1
asia,master's,y,n,3575,2005,northeast,865.0057,hour,y,1
asia,bachelor's,y,n,1875,1981,west,153315.16,year,y,0
europe,doctorate,y,n,4916,2008,northeast,32459.98,year,y,1
asia,bachelor's,y,n,491,1911,northeast,83132.53,year,y,1
asia,bachelor's,n,y,304,1993,south,39091.7,year,y,1
europe,master's,y,n,2829,2000,midwest,88722.28,year,y,1
europe,doctorate,n,n,104,1872,northeast,51214.55,year,y,1
asia,master's,n,n,1454,2005,south,56406.7,year,n,1
europe,doctorate,n,n,105,1987,northeast,56164.53,year,y,1
europe,high school,y,n,397,1992,midwest,95111.16,year,y,0
europe,bachelor's,n,n,4721,1972,west,19948.04,year,y,0
asia,bachelor's,y,n,238,2004,northeast,12599.57,year,y,0
europe,doctorate,y,n,4074,1973,northeast,74259.66,year,y,1
asia,master's,n,n,593,1983,northeast,101002.46,year,n,1
asia,high school,n,n,4070,1904,northeast,39203.99,year,y,0
asia,master's,y,n,1359,1907,west,70715.59,year,y,1
asia,bachelor's,y,n,1441,1997,northeast,53667.46,year,y,1
asia,master's,n,n,2525,1892,south,171075.49,year,n,1
asia,bachelor's,y,n,968,2007,south,558.5524,hour,y,1
europe,master's,y,n,2680,2008,south,87753.74,year,y,1
asia,master's,y,n,5175,1962,midwest,47797.7,year,n,1
europe,bachelor's,n,n,883,1992,south,23289.46,year,y,1
asia,master's,y,n,4471,1996,midwest,69495.55,year,y,1
asia,master's,n,n,4121,1939,midwest,51254.52,year,y,1
asia,high school,y,n,3677,2010,midwest,70394.69,year,y,0
europe,master's,y,n,792,2007,northeast,855.9094,hour,y,1
north america,master's,n,n,1341,1988,south,65778.96,year,y,1
europe,bachelor's,n,n,13242,1987,west,14570.17,year,y,1
asia,bachelor's,n,n,634,2010,south,583.7382,hour,y,0
europe,doctorate,n,n,4016,1997,west,80413.76,year,y,1
asia,doctorate,y,n,821,1986,west,53351.62,year,y,1
europe,doctorate,y,n,3388,1999,northeast,42113.68,year,y,1
europe,bachelor's,n,y,2687,2004,south,88994.58,year,y,1
asia,master's,y,n,3961,2007,west,5490.31,year,y,1
north america,master's,y,n,905,1885,south,168.62,hour,y,1
europe,high school,n,y,4599,1975,midwest,28994.33,year,y,0
asia,bachelor's,y,n,2569,2000,northeast,36227.21,year,y,1
asia,bachelor's,y,y,3170,2000,west,121745.99,year,y,1
asia,high school,n,n,1549,2001,northeast,330.9405,hour,n,0
asia,high school,y,n,350,1951,midwest,100308.38,year,y,0
asia,high school,n,n,728,1847,northeast,57708.2,year,y,0
south america,master's,y,n,5935,1997,northeast,6049.49,year,y,1
asia,doctorate,n,y,2248,1997,south,128239.79,year,y,1
asia,bachelor's,y,n,53,1953,west,133137.66,year,y,1
asia,bachelor's,y,n,2557,1945,west,22614.82,year,y,0
asia,high school,y,n,3477,1978,west,656.0788,hour,y,0
oceania,high school,y,n,2028,1947,west,68917.53,year,y,1
asia,master's,y,n,1326,1997,northeast,26497.03,year,y,1
asia,bachelor's,n,n,91,1879,west,222416.49,year,y,1
north america,bachelor's,y,n,4852,1997,northeast,136024.63,year,n,1
asia,bachelor's,y,n,758,2005,south,240193.11,year,y,1
africa,doctorate,y,n,3410,1987,northeast,165216.93,year,y,1
asia,master's,n,n,2103,1984,south,115935.05,year,n,1
asia,master's,y,n,172,2002,west,64263.75,year,y,1
asia,master's,y,n,1192,1999,midwest,119004.86,year,y,1
asia,bachelor's,n,n,201,1976,west,243086.94,year,y,1
asia,bachelor's,y,n,447,2006,midwest,25514.26,year,y,1
asia,master's,n,n,363,1961,northeast,97950.07,year,y,1
asia,master's,n,y,999,1984,west,123475.42,year,y,1
asia,bachelor's,n,n,1042,2000,west,41821.55,year,n,0
asia,master's,n,y,996,1998,south,72550.43,year,y,1
asia,bachelor's,y,y,344,1968,west,124401.37,year,y,1
asia,bachelor's,y,n,946,2001,south,34213.79,year,y,0
asia,bachelor's,n,n,468,2002,south,81365.63,year,y,1
europe,master's,n,y,667,1998,northeast,92705.11,year,y,1
north america,doctorate,y,n,5089,1963,west,87833.81,year,y,1
europe,bachelor's,y,n,2142,1871,west,20170.59,year,y,1
asia,master's,n,n,2786,1996,northeast,138.875,hour,y,1
asia,master's,y,n,903,2007,northeast,139253.22,year,n,1
asia,bachelor's,y,n,142,1989,northeast,127765.0,year,n,0
asia,high school,n,y,1318,2013,west,112247.36,year,y,0
asia,bachelor's,y,n,1914,1994,south,41117.91,year,y,1
north america,high school,n,n,597,2005,west,131.12,hour,y,1
europe,bachelor's,y,n,2630,1996,northeast,85573.42,year,y,1
asia,master's,y,n,796,1999,midwest,96779.07,year,y,1
asia,high school,n,n,2248,1983,west,629.7126,hour,y,0
asia,master's,y,n,1361,1982,midwest,79000.86,year,y,1
south america,master's,y,n,1216,1963,south,55970.62,year,n,1
europe,doctorate,n,n,2805,1998,west,2760.8,year,y,1
asia,doctorate,n,y,1523,2004,northeast,71485.11,year,y,1
asia,bachelor's,y,n,2253,1990,west,60749.34,year,y,1
asia,bachelor's,y,n,705,1925,south,160831.05,year,y,1
asia,master's,y,n,678,1951,northeast,35551.72,year,y,1
asia,high school,n,n,4054,1925,northeast,112267.09,year,y,0
europe,doctorate,y,y,920,1997,midwest,94912.68,year,y,1
asia,bachelor's,y,n,1887,2010,northeast,30390.06,year,n,1
asia,high school,y,n,1466,1988,west,194076.46,year,y,0
south america,high school,n,n,2017,2000,west,906.9008,hour,y,1
asia,master's,n,n,2143,2006,northeast,124922.15,year,n,1
north america,doctorate,y,n,5951,1987,west,18040.87,year,y,1
europe,master's,n,n,5322,1902,south,117488.86,year,y,1
asia,master's,n,n,3368,1979,northeast,85201.79,year,y,1
europe,master's,n,n,9525,2010,south,159428.71,year,y,1
asia,bachelor's,y,n,1914,2012,midwest,115078.63,year,y,1
asia,bachelor's,y,n,677,1990,west,13501.01,year,y,0
north america,bachelor's,y,n,986,1928,west,95478.53,week,y,0
asia,master's,n,n,4161,2008,midwest,138121.43,year,y,1
asia,high school,y,n,425,1984,northeast,15853.54,year,y,0
asia,bachelor's,y,n,1989,1987,west,122349.51,year,y,0
asia,master's,y,n,3994,2004,midwest,153524.1,year,n,1
europe,bachelor's,n,y,115700,2010,west,78505.56,year,y,1
europe,high school,y,n,1775,1978,northeast,83932.24,year,y,0
asia,bachelor's,y,n,2405,2003,midwest,145919.81,year,y,1
asia,bachelor's,y,n,3937,1952,south,49240.36,year,y,0
asia,master's,y,n,1967,2014,midwest,144872.87,year,n,1
europe,high school,n,y,217,1985,west,19038.0,year,y,0
asia,high school,n,n,2201,2010,northeast,52901.05,year,y,0
asia,high school,n,n,1632,1888,northeast,1600.01,year,y,0
south america,doctorate,y,n,217,1965,northeast,104596.34,year,y,1
asia,master's,y,n,4375,1996,northeast,5509.41,year,y,1
asia,bachelor's,y,n,34632,2008,midwest,6341.39,year,y,1
asia,bachelor's,y,n,1260,1996,midwest,106925.54,year,n,0
europe,bachelor's,n,n,3413,1985,west,69162.29,year,y,1
europe,bachelor's,n,y,451,1978,west,32532.13,year,y,1
asia,bachelor's,y,n,335,1892,south,136736.98,year,y,1
asia,high school,y,n,2271,1978,northeast,91637.13,year,y,0
asia,master's,y,n,557,2003,northeast,15650.94,year,y,1
asia,bachelor's,y,n,4329,1884,northeast,97432.62,year,y,0
asia,master's,y,n,3644,2002,west,130735.67,year,y,1
asia,bachelor's,y,n,651,2010,west,429.5424,hour,y,0
asia,master's,n,n,2641,2002,west,106.25,hour,y,1
asia,master's,y,n,774,2003,south,84657.84,year,y,1
asia,high school,y,n,4244,2003,northeast,57006.56,year,y,0
europe,master's,n,n,454,1989,northeast,111472.24,year,y,1
asia,high school,n,n,1538,2012,midwest,71746.68,year,y,0
asia,master's,n,y,9709,1999,south,98795.73,year,y,1
africa,master's,n,n,34136,1985,west,38035.33,year,n,1
asia,high school,n,n,1624,2006,midwest,3057.83,year,y,0
south america,bachelor's,n,n,3956,2004,northeast,58380.43,year,y,0
asia,high school,n,n,2038,1985,midwest,294258.8,year,y,0
asia,master's,y,n,2691,1864,midwest,55012.36,year,y,1
asia,master's,y,n,3209,2008,northeast,46082.69,year,y,1
asia,bachelor's,n,n,931,1964,west,640.6397,hour,y,1
asia,bachelor's,y,n,2410,2008,south,50509.2,year,y,0
asia,bachelor's,n,n,717,1966,northeast,77.4716,hour,y,0
asia,high school,y,n,2702,1996,midwest,34908.02,year,y,0
asia,bachelor's,y,n,484,1877,south,106315.4,year,y,1
asia,bachelor's,y,n,2687,2008,south,77725.1,year,y,1
north america,high school,y,n,558,2012,south,16029.76,year,y,1
europe,high school,y,n,3431,2011,west,6445.52,year,y,0
north america,master's,y,n,3154,1819,west,24143.21,year,y,1
north america,master's,y,n,613,1840,midwest,151276.84,year,n,1
europe,doctorate,n,n,2412,1998,west,91603.2,year,y,1
north america,high school,n,n,386,1965,west,543.5521,hour,y,1
asia,bachelor's,y,n,70952,2014,west,90738.04,year,y,1
asia,bachelor's,n,n,1698,1997,south,52926.0,year,y,1
asia,master's,n,n,1495,1986,midwest,168833.22,year,n,1
asia,master's,y,y,765,1855,west,18195.91,year,y,1
asia,bachelor's,y,n,128,1947,south,51294.76,year,y,1
asia,bachelor's,y,n,1430,1994,south,112678.24,year,y,1
asia,master's,y,y,23,2005,west,74601.59,year,y,1
north america,master's,y,n,4078,2003,south,60174.38,year,y,1
asia,bachelor's,n,n,1065,1817,midwest,897.158,hour,y,1
asia,doctorate,n,y,2538,2010,south,89442.14,year,y,1
north america,bachelor's,n,n,33,1943,south,123130.98,year,n,0
asia,doctorate,y,n,2960,2007,south,81898.54,year,y,1
europe,bachelor's,n,n,4626,1990,northeast,21966.08,year,y,1
europe,high school,y,n,356,1982,west,60563.08,year,y,0
asia,bachelor's,y,n,4378,1997,midwest,137995.92,year,n,1
asia,master's,y,n,2488,1960,midwest,98414.12,year,y,1
asia,high school,y,n,21849,2011,northeast,80867.34,year,n,0
europe,master's,y,y,2067,2006,south,65945.6,year,y,1
asia,high school,n,n,2217,1996,midwest,74756.54,year,y,0
asia,master's,n,n,441,1978,midwest,11616.64,year,y,1
asia,bachelor's,y,n,1548,1998,northeast,112612.86,year,y,1
asia,bachelor's,y,n,110713,1893,midwest,154588.93,year,n,1
europe,bachelor's,n,n,260,2002,west,41220.0,year,y,1
asia,master's,n,y,1946,2004,northeast,130099.37,year,y,1
north america,master's,y,n,4026,1987,northeast,34091.08,week,y,1
europe,bachelor's,n,n,4554,1994,west,23080.22,year,y,1
oceania,doctorate,n,n,1737,1999,west,99047.99,year,y,1
asia,master's,y,n,1497,1912,northeast,93942.64,year,y,1
asia,master's,y,n,1660,1960,midwest,90413.5,year,y,1
asia,bachelor's,n,n,2448,2009,midwest,124252.65,year,y,1
europe,bachelor's,y,y,2004,1839,west,59506.35,year,y,1
asia,bachelor's,y,n,3623,2008,northeast,82586.45,year,y,0
asia,master's,y,n,296,1969,south,132128.63,year,n,1
asia,bachelor's,y,n,6782,1979,west,86499.6,year,y,1
asia,master's,n,n,1186,1998,south,95389.41,year,y,1
north america,doctorate,n,n,5540,1964,northeast,87498.46,year,y,1
asia,bachelor's,y,n,4473,1915,northeast,154026.23,year,y,0
asia,master's,y,n,5960,1984,west,58308.39,year,y,1
europe,doctorate,n,n,1442,2000,west,44385.47,year,y,1
europe,master's,y,n,109850,1838,northeast,30999.32,year,y,1
south america,master's,y,n,1581,2006,northeast,84672.11,year,y,1
asia,bachelor's,n,n,3090,1889,west,122330.0,year,y,0
north america,high school,y,n,2570,1997,west,108544.37,year,y,1
asia,master's,y,n,94579,2004,midwest,188121.77,year,y,1
asia,high school,n,n,3907,1912,south,104941.46,year,y,0
asia,bachelor's,y,n,1305,2001,south,46100.72,year,y,1
asia,bachelor's,y,n,1270,1977,west,92441.52,year,y,0
asia,bachelor's,y,y,953,1972,south,57270.12,year,y,1
north america,master's,n,n,542,1984,west,86714.2,year,y,0
europe,master's,y,n,5484,1909,west,34045.17,year,y,1
asia,master's,n,n,1566,1995,west,19736.48,year,y,1
asia,high school,y,n,3374,2009,northeast,64897.41,year,y,0
asia,doctorate,n,n,393,2011,south,115303.3,year,y,1
asia,bachelor's,n,n,3823,1975,northeast,41049.06,year,y,1
europe,master's,y,n,603,2007,west,38893.46,year,y,1
europe,bachelor's,y,n,15626,2001,west,11071.89,year,y,1
asia,bachelor's,y,n,5197,1977,northeast,42857.83,year,y,1
africa,doctorate,y,n,17711,1870,northeast,123440.24,year,y,1
asia,bachelor's,y,n,1132,2013,northeast,15522.78,year,y,1
asia,master's,y,n,3068,2005,south,61230.67,year,y,1
europe,doctorate,n,n,3562,2006,northeast,21649.9,year,y,1
north america,high school,n,n,3522,2001,northeast,923.0436,hour,y,1
asia,bachelor's,n,n,996,1850,northeast,38958.4,year,y,1
europe,doctorate,n,n,5879,1960,west,153.98,year,y,1
asia,high school,y,y,1495,1945,south,77174.16,year,n,0
asia,bachelor's,n,n,1175,2006,west,38999.34,year,y,0
asia,high school,y,n,2835,1947,south,50.8813,hour,y,0
north america,bachelor's,y,n,812,1998,west,65665.55,year,n,1
asia,bachelor's,n,y,846,2007,west,101656.64,year,y,1
north america,bachelor's,y,n,1763,2004,south,25713.98,year,y,1
asia,master's,n,n,3640,1988,midwest,129554.24,year,y,1
south america,bachelor's,n,y,4292,1867,west,64871.55,year,y,1
asia,master's,y,n,26494,2007,northeast,91601.3,year,y,1
asia,bachelor's,n,n,408,1999,south,88593.58,year,y,0
asia,doctorate,y,n,4336,2004,west,46989.57,year,y,1
asia,master's,n,n,619,1974,south,45860.26,year,y,1
europe,master's,y,n,3354,1983,west,46471.14,year,y,1
asia,high school,n,y,4632,2006,south,48616.69,year,y,0
north america,bachelor's,n,n,2751,1850,west,113991.6,year,y,1
north america,bachelor's,n,n,1368,1989,south,47406.95,year,y,1
north america,master's,n,y,381,1979,northeast,680.497,hour,y,0
asia,bachelor's,y,n,1606,2011,west,118191.51,month,y,1
asia,bachelor's,y,y,2140,1871,west,99622.59,year,y,0
europe,doctorate,y,n,2364,1970,south,38544.47,year,y,1
north america,master's,n,n,1789,1949,south,43967.61,year,y,1
asia,bachelor's,n,n,927,1968,northeast,7546.31,year,y,0
asia,bachelor's,y,n,4463,1977,south,87432.82,year,y,1
asia,master's,y,n,707,2000,south,53719.84,year,y,1
africa,high school,y,n,3182,2006,northeast,50090.44,year,y,0
asia,bachelor's,y,n,3655,2007,northeast,64910.14,year,y,1
asia,bachelor's,y,y,615,1985,south,93973.1,year,y,1
asia,master's,y,n,3162,2008,northeast,107395.57,year,n,1
north america,master's,y,n,4001,2005,south,68142.63,year,n,1
asia,bachelor's,y,n,1867,2008,midwest,98781.2,year,y,0
asia,master's,y,n,1013,1968,south,110337.58,year,y,1
asia,bachelor's,n,y,2945,2010,south,114777.66,year,y,1
asia,master's,y,n,824,1993,northeast,68602.48,year,n,1
north america,bachelor's,n,n,1943,1995,west,49373.11,year,y,0
north america,bachelor's,n,n,799,1992,west,101721.37,year,y,0
asia,bachelor's,y,n,1207,2007,south,828.4491,hour,y,0
asia,bachelor's,y,n,1923,2003,west,135944.44,year,y,0
asia,bachelor's,n,n,42683,1888,south,88127.31,year,n,1
asia,bachelor's,y,n,1552,2004,northeast,932.1547,hour,y,0
asia,bachelor's,n,n,228,1968,midwest,100023.97,year,y,1
asia,bachelor's,n,y,2279,1902,west,85028.32,year,y,1
asia,bachelor's,n,n,848,1974,northeast,80494.37,year,n,0
asia,master's,y,n,2919,1998,northeast,116275.24,year,y,1
north america,bachelor's,y,n,726,2006,west,70217.86,year,y,1
europe,master's,y,n,1687,1946,west,32279.22,year,y,1
asia,master's,y,n,780,2007,south,13963.55,year,y,1
asia,high school,n,n,1598,2005,midwest,58966.58,year,y,0
asia,high school,y,n,2936,1956,west,125732.64,year,y,0
europe,doctorate,n,n,1406,1902,west,30025.61,year,y,1
asia,high school,n,n,490,2003,northeast,428.7372,hour,y,0
asia,bachelor's,n,n,2941,2007,west,81572.76,year,y,0
asia,master's,y,n,205,1966,northeast,118.43,hour,y,1
north america,master's,n,n,342,1998,northeast,112491.36,year,y,0
asia,bachelor's,y,n,5575,1902,northeast,7676.07,year,y,1
europe,bachelor's,y,n,1157,1999,midwest,46579.45,year,y,1
asia,bachelor's,y,n,91,2004,midwest,125601.58,year,y,1
asia,bachelor's,y,n,794,2008,midwest,97492.39,year,y,1
europe,master's,y,n,630,1997,northeast,52832.65,year,y,1
europe,bachelor's,y,n,3867,2005,west,11056.41,year,y,0
asia,high school,y,n,1764,1999,northeast,87536.78,year,y,0
asia,bachelor's,y,n,1514,2009,northeast,134481.28,year,n,1
asia,bachelor's,y,n,2400,1991,south,110549.25,year,y,1
europe,doctorate,y,n,3976,1968,northeast,28759.36,year,y,1
europe,master's,y,n,857,2006,south,72161.02,year,y,1
